Frame: 39941, Time: 02:14:15
Frame: 39942, Time: 02:14:16
Frame: 39943, Time: 02:14:16
Frame: 39944, Time: 02:14:16
Frame: 39945, Time: 02:14:16
Frame: 39946, Time: 02:14:16
Frame: 39947, Time: 02:14:17
Frame: 39948, Time: 02:14:17
Frame: 39949, Time: 02:14:17
Frame: 39950, Time: 02:14:17
Frame: 39951, Time: 02:14:17
Frame: 39952, Time: 02:14:18
Frame: 39953, Time: 02:14:18
Frame: 39954, Time: 02:14:18
Frame: 39955, Time: 02:14:18
Frame: 39956, Time: 02:14:18
Frame: 39957, Time: 02:14:19
Frame: 39958, Time: 02:14:19
Frame: 39959, Time: 02:14:19
Frame: 39963, Time: 02:14:20
Frame: 40051, Time: 02:14:38
Frame: 40054, Time: 02:14:38
Frame: 40055, Time: 02:14:38
Frame: 40056, Time: 02:14:39
Frame: 40057, Time: 02:14:39
Frame: 40058, Time: 02:14:39
Frame: 40059, Time: 02:14:39
Frame: 40060, Time: 02:14:39
Frame: 40061, Time: 02:14:40
Frame: 40062, Time: 02:14:40
Frame: 40063, Time: 02:14:40
Frame: 40064, Time: 02:14:40
Frame: 40065, Time: 02:14:40
Frame: 40066, Time: 02:14:41
Frame: 40067, Time: 02:14:41
Frame: 40068, Time: 02:14:41
Frame: 40069, Time: 02:14:41
Frame: 40071, Time: 02:14:42
Frame: 40072, Time: 02:14:42
Frame: 40073, Time: 02:14:42
Frame: 40074, Time: 02:14:42
Frame: 40075, Time: 02:14:42
Frame: 40076, Time: 02:14:43
Frame: 40077, Time: 02:14:43
Frame: 40078, Time: 02:14:43
Frame: 40911, Time: 02:17:31
Frame: 40912, Time: 02:17:31
Frame: 40913, Time: 02:17:31
Frame: 40914, Time: 02:17:32
Frame: 40915, Time: 02:17:32
Frame: 40916, Time: 02:17:32
Frame: 40917, Time: 02:17:32
Frame: 40918, Time: 02:17:32
Frame: 40919, Time: 02:17:33
Frame: 40920, Time: 02:17:33
Frame: 40921, Time: 02:17:33
Frame: 40922, Time: 02:17:33
Frame: 40923, Time: 02:17:33
Frame: 40924, Time: 02:17:34
Frame: 40925, Time: 02:17:34
Frame: 40926, Time: 02:17:34
Frame: 40927, Time: 02:17:34
Frame: 40928, Time: 02:17:34
Frame: 40929, Time: 02:17:35
Frame: 40930, Time: 02:17:35
Frame: 40931, Time: 02:17:35
Frame: 40932, Time: 02:17:35
Frame: 40933, Time: 02:17:35
Frame: 40934, Time: 02:17:36
Frame: 40935, Time: 02:17:36
Frame: 40936, Time: 02:17:36
Frame: 40937, Time: 02:17:36
Frame: 40938, Time: 02:17:36
Frame: 40939, Time: 02:17:37
Frame: 40940, Time: 02:17:37
Frame: 40941, Time: 02:17:37
Frame: 40942, Time: 02:17:37
Frame: 40943, Time: 02:17:37
Frame: 40944, Time: 02:17:38
Frame: 40945, Time: 02:17:38
Frame: 40946, Time: 02:17:38
Frame: 40947, Time: 02:17:38
Frame: 40948, Time: 02:17:38
Frame: 40949, Time: 02:17:39
Frame: 40950, Time: 02:17:39
Frame: 40952, Time: 02:17:39
Frame: 40954, Time: 02:17:40
Frame: 40955, Time: 02:17:40
